W,CanParl,USLegis,Trade,UCI-Message,UNVote,AS733,Enron,Colab,Bitcoin-OTC,Bitcoin-Alpha
1,90.56,90.74,92.12,84.85,86.96,97.37,92.45,90.86,89.99,73.51
2,89.30,90.16,92.09,83.85,86.48,96.99,92.16,91.25,88.72,79.25
3,89.97,91.45,92.11,61.06,86.74,96.61,92.29,90.85,89.34,74.94
4,88.84,89.91,92.16,59.37,87.66,95.17,92.19,91.01,89.31,78.55
5,89.78,91.46,92.11,58.73,85.26,96.79,92.04,90.85,89.29,74.28
6,90.04,91.06,92.19,56.30,86.13,94.79,92.29,90.75,89.39,77.29
7,86.89,90.52,91.78,57.02,86.12,95.56,91.91,90.79,89.47,74.36
8,88.72,90.20,92.07,55.59,87.72,97.02,91.93,90.69,89.18,77.93
9,90.35,90.24,91.92,52.53,87.64,96.64,91.74,90.59,89.08,74.40
10,90.04,90.52,92.11,52.46,87.57,97.04,91.62,90.70,89.32,77.33
-1,89.70,90.02,91.95,54.33,84.76,97.17,91.58,90.69,89.04,76.19