W,CanParl,USLegis,Trade,UCI-Message,UNVote,AS733,Enron,Colab,Bitcoin-OTC,Bitcoin-Alpha
1,90.65,90.25,92.70,81.04,87.89,86.94,84.49,76.89,79.99,67.00
2,90.64,90.72,92.62,82.15,90.42,86.85,82.83,75.45,80.06,70.75
3,90.64,90.95,92.53,82.15,86.78,86.78,83.60,76.12,81.19,70.72
4,90.64,90.95,92.45,82.15,88.16,86.73,83.52,78.22,81.15,70.72
5,90.64,90.95,92.43,82.15,87.53,86.92,83.08,77.58,80.06,70.72
6,90.64,91.17,92.72,82.15,89.09,87.06,82.24,78.07,80.06,70.74
7,90.64,90.95,92.56,82.15,87.38,86.72,83.18,78.25,81.11,70.69
8,90.64,90.95,92.66,82.15,89.04,86.71,82.00,78.04,80.05,70.72
9,90.64,90.95,92.48,82.15,89.03,86.39,83.24,78.04,79.99,70.72
10,90.64,90.95,92.31,82.15,87.90,86.99,83.29,77.96,80.04,70.72
-1,90.64,90.95,92.62,82.14,86.49,86.66,83.73,77.68,81.29,70.72